,Gene Symbol,Interactor Symbol,Entrez ID,Evidence,Interactor Name,Uniport ID,Reference,Species,Interaction Type,edge,loci,loci-Gene-Symbol,loci-Interactor-Symbol
4206,CHD8,CNN3,1266,CHIP-seq,"calponin 3, acidic",Q15417,25752243,Homo sapiens,DNA Binding,"CHD8,CNN3",,14q11.2,0
4207,CHD8,CNNM2,54805,ChIP-chip,cyclin M2,Q9H8M5,24265227,Homo sapiens,DNA Binding,"CHD8,CNNM2",,14q11.2,0
4208,CHD8,CNO,55330,ChIP-chip,"biogenesis of lysosomal organelles complex-1, subunit 4, cappuccino",Q9NUP1,24265227,Homo sapiens,DNA Binding,"CHD8,CNO",,14q11.2,0
4209,CHD8,CNOT1,23019,ChIP-chip,"CCR4-NOT transcription complex, subunit 1",A5YKK6,24265227,Homo sapiens,DNA Binding,"CHD8,CNOT1",,14q11.2,16q21
4210,CHD8,CNOT11,55571,CHIP-seq,CCR4-NOT transcription complex subunit 11,Q9UKZ1,25752243,Homo sapiens,DNA Binding,"CHD8,CNOT11",,14q11.2,0
4211,CHD8,CNOT2,4848,ChIP-chip,"CCR4-NOT transcription complex, subunit 2",B2RDX7,24265227,Homo sapiens,DNA Binding,"CHD8,CNOT2",,14q11.2,0
4212,CHD8,CNOT3,4849,ChIP-chip,"CCR4-NOT transcription complex, subunit 3",O75175,24265227,Homo sapiens,DNA Binding,"CHD8,CNOT3",,14q11.2,19q13.42
4213,CHD8,CNOT4,4850,ChIP-chip,"CCR4-NOT transcription complex, subunit 4",O95628,24265227,Homo sapiens,DNA Binding,"CHD8,CNOT4",,14q11.2,0
4214,CHD8,CNOT6,57472,ChIP-chip,"CCR4-NOT transcription complex, subunit 6",Q9ULM6,24265227,Homo sapiens,DNA Binding,"CHD8,CNOT6",,14q11.2,0
4215,CHD8,CNOT6L,246175,CHIP-seq,"CCR4-NOT transcription complex, subunit 6-like",Q96LI5,25752243,Homo sapiens,DNA Binding,"CHD8,CNOT6L",,14q11.2,0
4216,CHD8,CNOT7,29883,CHIP-seq,"CCR4-NOT transcription complex, subunit 7",Q9UIV1,25752243,Homo sapiens,DNA Binding,"CHD8,CNOT7",,14q11.2,0
4217,CHD8,CNOT8,9337,ChIP-chip,"CCR4-NOT transcription complex, subunit 8",Q9UFF9,24265227,Homo sapiens,DNA Binding,"CHD8,CNOT8",,14q11.2,0
4218,CHD8,CNPPD1,27013,CHIP-seq,cyclin Pas1/PHO80 domain containing 1,Q9BV87,25752243,Homo sapiens,DNA Binding,"CHD8,CNPPD1",,14q11.2,0
4219,CHD8,CNPY3,NM_006586,ChIP-chip,canopy FGF signaling regulator 3,Q9BT09,24265227,Homo sapiens,DNA Binding,"CHD8,CNPY3",,14q11.2,0
4220,CHD8,CNPY4,NM_152755,ChIP-chip,canopy FGF signaling regulator 4,Q8N129,24265227,Homo sapiens,DNA Binding,"CHD8,CNPY4",,14q11.2,0
4221,CHD8,COA5,493753,CHIP-seq,Cytochrome c oxidase assembly factor 5,Q86WW8,25752243,Homo sapiens,DNA Binding,"CHD8,COA5",,14q11.2,0
4222,CHD8,COG2,22796,ChIP-chip,component of oligomeric golgi complex 2,Q14746,24265227,Homo sapiens,DNA Binding,"CHD8,COG2",,14q11.2,0
4223,CHD8,COG4,25839,ChIP-chip,component of oligomeric golgi complex 4,Q9H9E3,24265227,Homo sapiens,DNA Binding,"CHD8,COG4",,14q11.2,0
4224,CHD8,COIL,8161,CHIP-seq,coilin,P38432,25752243,Homo sapiens,DNA Binding,"CHD8,COIL",,14q11.2,0
4225,CHD8,COL4A3BP,10087,CHIP-seq,"collagen, type IV, alpha 3 (Goodpasture antigen) binding protein",Q9Y5P4,25752243,Homo sapiens,DNA Binding,"CHD8,COL4A3BP",,14q11.2,0
4226,CHD8,COL4A6,1288,ChIP-chip,"collagen, type IV, alpha 6",Q14031,24265227,Homo sapiens,DNA Binding,"CHD8,COL4A6",,14q11.2,0
4227,CHD8,COL5A2,1290,ChIP-chip,MKL2,P05997,24265227,Homo sapiens,DNA Binding,"CHD8,COL5A2",,14q11.2,0
4228,CHD8,COMMD2,51122,ChIP-chip,COMM domain containing 2,Q86X83,24265227,Homo sapiens,DNA Binding,"CHD8,COMMD2",,14q11.2,0
4229,CHD8,COMMD3,NM_012071,ChIP-chip,COMM domain containing 3,Q9UBI1,24265227,Homo sapiens,DNA Binding,"CHD8,COMMD3",,14q11.2,0
4230,CHD8,COPA,1314,ChIP-chip,"coatomer protein complex, subunit alpha",P53621,24265227,Homo sapiens,DNA Binding,"CHD8,COPA",,14q11.2,0
4231,CHD8,COPB1,1315,ChIP-chip,"coatomer protein complex, subunit beta 1",P53618,24265227,Homo sapiens,DNA Binding,"CHD8,COPB1",,14q11.2,0
4232,CHD8,COPS4,51138,ChIP-chip,COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis),B3KST5,24265227,Homo sapiens,DNA Binding,"CHD8,COPS4",,14q11.2,0
4233,CHD8,COPS5,10987,ChIP-chip,COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis),Q92905,24265227,Homo sapiens,DNA Binding,"CHD8,COPS5",,14q11.2,0
4234,CHD8,COPS6,10980,ChIP-chip,COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis),Q7L5N1,24265227,Homo sapiens,DNA Binding,"CHD8,COPS6",,14q11.2,0
4235,CHD8,COPS7A,50813,ChIP-chip,COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis),Q9UBW8,24265227,Homo sapiens,DNA Binding,"CHD8,COPS7A",,14q11.2,0
4236,CHD8,COPS7B,64708,CHIP-seq,COP9 signalosome subunit 7B,Q9H9Q2,25752243,Homo sapiens,DNA Binding,"CHD8,COPS7B",,14q11.2,0
4237,CHD8,COPS8,10920,CHIP-seq,COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis),Q53QS9,25752243,Homo sapiens,DNA Binding,"CHD8,COPS8",,14q11.2,0
4238,CHD8,COPZ1,22818,ChIP-chip,"coatomer protein complex, subunit zeta 1",P61923,24265227,Homo sapiens,DNA Binding,"CHD8,COPZ1",,14q11.2,0
4239,CHD8,COQ2,27235,ChIP-chip,"coenzyme Q2 homolog, prenyltransferase (yeast)",Q96H96,24265227,Homo sapiens,DNA Binding,"CHD8,COQ2",,14q11.2,0
4240,CHD8,COQ3,NM_017421,ChIP-chip,coenzyme Q3 methyltransferase,Q9NZJ6,24265227,Homo sapiens,DNA Binding,"CHD8,COQ3",,14q11.2,0
4241,CHD8,COQ4,51117,CHIP-seq,"Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial",Q9Y3A0,25752243,Homo sapiens,DNA Binding,"CHD8,COQ4",,14q11.2,0
4242,CHD8,COQ5,84274,ChIP-chip,"coenzyme Q5 homolog, methyltransferase (S. cerevisiae)",Q5HYK3,24265227,Homo sapiens,DNA Binding,"CHD8,COQ5",,14q11.2,0
4243,CHD8,CORO2B,10391,CHIP-seq,Coronin-2B,Q9UQ03,25752243,Homo sapiens,DNA Binding,"CHD8,CORO2B",,14q11.2,0
4244,CHD8,COTL1,23406,ChIP-chip,coactosin-like 1 (Dictyostelium),Q14019,24265227,Homo sapiens,DNA Binding,"CHD8,COTL1",,14q11.2,0
4245,CHD8,COX11,1353,CHIP-seq,cytochrome c oxidase assembly homolog 11 (yeast),B4DEY8,25752243,Homo sapiens,DNA Binding,"CHD8,COX11",,14q11.2,0
4246,CHD8,COX15,1355,CHIP-seq,cytochrome c oxidase assembly homolog 15 (yeast),Q7KZN9,25752243,Homo sapiens,DNA Binding,"CHD8,COX15",,14q11.2,0
4247,CHD8,COX18,285521,ChIP-chip,cytochrome c oxidase assembly homolog 18 (yeast),Q8N8Q8,24265227,Homo sapiens,DNA Binding,"CHD8,COX18",,14q11.2,0
4248,CHD8,COX20,116228,CHIP-seq,Cytochrome c oxidase protein 20 homolog,Q5RI15,25752243,Homo sapiens,DNA Binding,"CHD8,COX20",,14q11.2,0
4249,CHD8,COX4I1,1327,ChIP-chip,cytochrome c oxidase subunit IV isoform 1,P13073,24265227,Homo sapiens,DNA Binding,"CHD8,COX4I1",,14q11.2,0
4250,CHD8,COX5A,9377,ChIP-chip,cytochrome c oxidase subunit Va,P20674,24265227,Homo sapiens,DNA Binding,"CHD8,COX5A",,14q11.2,0
4251,CHD8,COX5B,1329,ChIP-chip,cytochrome c oxidase subunit Vb,P10606,24265227,Homo sapiens,DNA Binding,"CHD8,COX5B",,14q11.2,0
4252,CHD8,COX6A1,1337,ChIP-chip,cytochrome c oxidase subunit VIa polypeptide 1,H6SG15,24265227,Homo sapiens,DNA Binding,"CHD8,COX6A1",,14q11.2,0
4253,CHD8,COX6C,NM_004374,ChIP-chip,cytochrome c oxidase subunit VIc,A0A024R9B7,24265227,Homo sapiens,DNA Binding,"CHD8,COX6C",,14q11.2,0
4254,CHD8,COX7A2,NM_001865,ChIP-chip,cytochrome c oxidase subunit VIIa polypeptide 2 (liver),H0UI06,24265227,Homo sapiens,DNA Binding,"CHD8,COX7A2",,14q11.2,0
4255,CHD8,COX7C,1350,ChIP-chip,cytochrome c oxidase subunit VIIc,P15954,24265227,Homo sapiens,DNA Binding,"CHD8,COX7C",,14q11.2,0
4256,CHD8,CP110,9738,ChIP-chip,centriolar coiled coil protein 110kDa,B4DTZ1,24265227,Homo sapiens,DNA Binding,"CHD8,CP110",,14q11.2,0
4257,CHD8,CPEB3,22849,CHIP-seq,cytoplasmic polyadenylation element binding protein 3,Q5QP71,25752243,Homo sapiens,DNA Binding,"CHD8,CPEB3",,14q11.2,0
4258,CHD8,CPEB4,80315,ChIP-chip,cytoplasmic polyadenylation element binding protein 4,Q17RY0,24265227,Homo sapiens,DNA Binding,"CHD8,CPEB4",,14q11.2,5q35.2
4259,CHD8,CPNE1,8904,CHIP-seq,copine I,B0QZ18,25752243,Homo sapiens,DNA Binding,"CHD8,CPNE1",,14q11.2,0
4260,CHD8,CPPED1,55313,ChIP-chip,calcineurin-like phosphoesterase domain containing 1,Q9BRF8,24265227,Homo sapiens,DNA Binding,"CHD8,CPPED1",,14q11.2,0
4261,CHD8,CPS1,1373,CHIP-seq,"carbamoyl-phosphate synthase 1, mitochondrial",J3KQL0,25752243,Homo sapiens,DNA Binding,"CHD8,CPS1",,14q11.2,0
4262,CHD8,CPSF2,53981,CHIP-seq,"cleavage and polyadenylation specific factor 2, 100kDa",Q9P2I0,25752243,Homo sapiens,DNA Binding,"CHD8,CPSF2",,14q11.2,0
4263,CHD8,CPSF3,51692,ChIP-chip,"cleavage and polyadenylation specific factor 3, 73kDa",Q9UKF6,24265227,Homo sapiens,DNA Binding,"CHD8,CPSF3",,14q11.2,0
4264,CHD8,CPSF6,11052,ChIP-chip,"cleavage and polyadenylation specific factor 6, 68kDa",Q16630,24265227,Homo sapiens,DNA Binding,"CHD8,CPSF6",,14q11.2,0
4265,CHD8,CPT1A,1374,ChIP-chip,carnitine palmitoyltransferase 1A (liver),P50416,24265227,Homo sapiens,DNA Binding,"CHD8,CPT1A",,14q11.2,0
4266,CHD8,CPT1C,NM_152359,ChIP-chip,carnitine palmitoyltransferase 1C,A0A024QZI3,24265227,Homo sapiens,DNA Binding,"CHD8,CPT1C",,14q11.2,0
4267,CHD8,CRADD,8738,ChIP-chip,CASP2 and RIPK1 domain containing adaptor with death domain,P78560,24265227,Homo sapiens,DNA Binding,"CHD8,CRADD",,14q11.2,0
4268,CHD8,CRBN,51185,CHIP-seq,Protein cereblon,Q96SW2,25752243,Homo sapiens,DNA Binding,"CHD8,CRBN",,14q11.2,0
4269,CHD8,CREB3,NM_006368,ChIP-chip,cAMP responsive element binding protein 3,O43889,24265227,Homo sapiens,DNA Binding,"CHD8,CREB3",,14q11.2,0
4270,CHD8,CREB3L2,64764,ChIP-chip,cAMP responsive element binding protein 3-like 2,Q70SY1,24265227,Homo sapiens,DNA Binding,"CHD8,CREB3L2",,14q11.2,0
4271,CHD8,CREBL2,1389,ChIP-chip,cAMP responsive element binding protein-like 2,O60519,24265227,Homo sapiens,DNA Binding,"CHD8,CREBL2",,14q11.2,0
4272,CHD8,CREBRF,153222,CHIP-seq,CREB3 regulatory factor,Q8IUR6,25752243,Homo sapiens,DNA Binding,"CHD8,CREBRF",,14q11.2,0
4273,CHD8,CREBZF,58487,ChIP-chip,CREB/ATF bZIP transcription factor,Q9NS37,24265227,Homo sapiens,DNA Binding,"CHD8,CREBZF",,14q11.2,0
4274,CHD8,CRELD1,78987,CHIP-seq,cysteine-rich with EGF-like domains 1,Q96HD1,25752243,Homo sapiens,DNA Binding,"CHD8,CRELD1",,14q11.2,0
4275,CHD8,CREM,1390,ChIP-chip,cAMP responsive element modulator,Q03060,24265227,Homo sapiens,DNA Binding,"CHD8,CREM",,14q11.2,0
4276,CHD8,CRIPT,NM_014171,ChIP-chip,cysteine-rich PDZ-binding protein,Q9P021,24265227,Homo sapiens,DNA Binding,"CHD8,CRIPT",,14q11.2,0
4277,CHD8,CRK,1398,ChIP-chip,v-crk sarcoma virus CT10 oncogene homolog (avian),P46108,24265227,Homo sapiens,DNA Binding,"CHD8,CRK",,14q11.2,0
4278,CHD8,CRKL,1399,ChIP-chip,v-crk sarcoma virus CT10 oncogene homolog (avian)-like,P46109,24265227,Homo sapiens,DNA Binding,"CHD8,CRKL",,14q11.2,0
4279,CHD8,CRLS1,54675,CHIP-seq,cardiolipin synthase 1,Q9UJA2,25752243,Homo sapiens,DNA Binding,"CHD8,CRLS1",,14q11.2,0
4280,CHD8,CROCC,9696,ChIP-chip,"ciliary rootlet coiled-coil, rootletin",Q5TZA2,24265227,Homo sapiens,DNA Binding,"CHD8,CROCC",,14q11.2,0
4281,CHD8,CROCCL2,NR_023386,ChIP-chip,"ciliary rootlet coiled-coil, rootletin pseudogene 3",,24265227,Homo sapiens,DNA Binding,"CHD8,CROCCL2",,14q11.2,0
4282,CHD8,CROT,NR_026585,ChIP-chip,,,24265227,Homo sapiens,DNA Binding,"CHD8,CROT",,14q11.2,0
4283,CHD8,CRY1,1407,ChIP-chip,cryptochrome 1 (photolyase-like),A2I2P0,24265227,Homo sapiens,DNA Binding,"CHD8,CRY1",,14q11.2,0
4284,CHD8,CRYL1,NM_015974,ChIP-chip,"crystallin, lambda 1",Q9Y2S2,24265227,Homo sapiens,DNA Binding,"CHD8,CRYL1",,14q11.2,0
4285,CHD8,CRYZ,NM_001134759,ChIP-chip,"crystallin, zeta (quinone reductase)",Q08257,24265227,Homo sapiens,DNA Binding,"CHD8,CRYZ",,14q11.2,0
4286,CHD8,CRYZL1,9946,CHIP-seq,"crystallin, zeta (quinone reductase)-like 1",O95825,25752243,Homo sapiens,DNA Binding,"CHD8,CRYZL1",,14q11.2,0
4287,CHD8,CS,1431,ChIP-chip,citrate synthase,O75390,24265227,Homo sapiens,DNA Binding,"CHD8,CS",,14q11.2,0
4288,CHD8,CSNK1A1,1452,ChIP-chip,"casein kinase 1, alpha 1",P48729,24265227,Homo sapiens,DNA Binding,"CHD8,CSNK1A1",,14q11.2,0
4289,CHD8,CSNK1G1,53944,ChIP-chip,"casein kinase 1, gamma 1",Q9HCP0,24265227,Homo sapiens,DNA Binding,"CHD8,CSNK1G1",,14q11.2,15q22.31
4290,CHD8,CSNK2B,1460,ChIP-chip,"casein kinase 2, beta polypeptide",P67870,24265227,Homo sapiens,DNA Binding,"CHD8,CSNK2B",,14q11.2,0
4291,CHD8,CSPP1,NM_024790,ChIP-chip,centrosome and spindle pole associated protein 1,Q1MSJ5,24265227,Homo sapiens,DNA Binding,"CHD8,CSPP1",,14q11.2,0
4292,CHD8,CSTF1,1477,ChIP-chip,"cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa",Q05048,24265227,Homo sapiens,DNA Binding,"CHD8,CSTF1",,14q11.2,0
4293,CHD8,CSTF3,1479,ChIP-chip,"cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa",Q12996,24265227,Homo sapiens,DNA Binding,"CHD8,CSTF3",,14q11.2,0
4294,CHD8,CTAGE5,4253,ChIP-chip,"CTAGE family, member 5",O15320,24265227,Homo sapiens,DNA Binding,"CHD8,CTAGE5",,14q11.2,0
4295,CHD8,CTBP1,1487,CHIP-seq,C-terminal binding protein 1,Q13363,25752243,Homo sapiens,DNA Binding,"CHD8,CTBP1",,14q11.2,0
4296,CHD8,CTBP1-AS1,92070,CHIP-seq,CTBP1 antisense RNA 1,Q0VAR9,25752243,Homo sapiens,DNA Binding,"CHD8,CTBP1-AS1",,14q11.2,0
4297,CHD8,CTBP2,1488,ChIP-chip,C-terminal binding protein 2,P56545,24265227,Homo sapiens,DNA Binding,"CHD8,CTBP2",,14q11.2,0
4298,CHD8,CTCF,10664,Y2H;      GST;      ChIP-chip,CCCTC-binding factor (zinc finger protein),B5MC38,16949368,Homo sapiens,Protein Binding,"CHD8,CTCF",,14q11.2,16q22.1
4299,CHD8,CTDSP2,10106,CHIP-seq,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2",O14595,25752243,Homo sapiens,DNA Binding,"CHD8,CTDSP2",,14q11.2,0
4300,CHD8,CTDSPL2,51496,ChIP-chip,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2",Q05D32,24265227,Homo sapiens,DNA Binding,"CHD8,CTDSPL2",,14q11.2,0
4301,CHD8,CTNNA1,1495,ChIP-chip,"catenin (cadherin-associated protein), alpha 1, 102kDa",P35221,24265227,Homo sapiens,DNA Binding,"CHD8,CTNNA1",,14q11.2,0
4302,CHD8,CTNNA2,1496,ChIP-chip,"catenin (cadherin-associated protein), alpha 2",P26232,24265227,Homo sapiens,DNA Binding,"CHD8,CTNNA2",,14q11.2,0
4303,CHD8,CTNNB1,1499,"ChIP;      IP/WB;      High-throughput fluorescence polarization interaction analysis assay,GST;      ChIP-chip","catenin (cadherin-associated protein), beta 1, 88kDa",Q9WU82,18378692,Homo sapiens,Protein Binding,"CHD8,CTNNB1",,14q11.2,3p22.1
4304,CHD8,CTNNB1,1499,"ChIP;      IP/WB;      High-throughput fluorescence polarization interaction analysis assay,GST;      ChIP-chip","catenin (cadherin-associated protein), beta 1, 88kDa",Q9WU82,22083958,Homo sapiens,Protein Binding,"CHD8,CTNNB1",,14q11.2,3p22.1
4305,CHD8,CTNND1,1500,ChIP-chip,"catenin (cadherin-associated protein), delta 1",O60716,24265227,Homo sapiens,DNA Binding,"CHD8,CTNND1",,14q11.2,0
4306,CHD8,CTTNBP2,83992,CHIP-seq,cortactin binding protein 2,Q8WZ74,25752243,Homo sapiens,DNA Binding,"CHD8,CTTNBP2",,14q11.2,7q31.31
4307,CHD8,CTTNBP2NL,55917,ChIP-chip,CTTNBP2 N-terminal like,Q9P2B4,24265227,Homo sapiens,DNA Binding,"CHD8,CTTNBP2NL",,14q11.2,0
4308,CHD8,CTU1,90353,ChIP-chip,cytosolic thiouridylase subunit 1 homolog (S. pombe),Q7Z7A3,24265227,Homo sapiens,DNA Binding,"CHD8,CTU1",,14q11.2,0
4309,CHD8,CUGBP1,NM_006560,ChIP-chip,"CUGBP, Elav-like family member 1",Q92879,24265227,Homo sapiens,DNA Binding,"CHD8,CUGBP1",,14q11.2,0
4310,CHD8,CUL1,8454,ChIP-chip,cullin 1,Q13616,24265227,Homo sapiens,DNA Binding,"CHD8,CUL1",,14q11.2,0
4311,CHD8,CUL2,8453,ChIP-chip,cullin 2,Q13617,24265227,Homo sapiens,DNA Binding,"CHD8,CUL2",,14q11.2,0
4312,CHD8,CUL4A,8451,CHIP-seq,cullin 4A,Q13619,25752243,Homo sapiens,DNA Binding,"CHD8,CUL4A",,14q11.2,0
4313,CHD8,CUL5,8065,ChIP-chip,cullin 5,Q93034,24265227,Homo sapiens,DNA Binding,"CHD8,CUL5",,14q11.2,0
4314,CHD8,CUTA,51596,ChIP-chip,cutA divalent cation tolerance homolog (E. coli),O60888,24265227,Homo sapiens,DNA Binding,"CHD8,CUTA",,14q11.2,0
4315,CHD8,CUTC,51076,CHIP-seq,cutC copper transporter homolog (E. coli),Q9NTM9,25752243,Homo sapiens,DNA Binding,"CHD8,CUTC",,14q11.2,0
4316,CHD8,CUX1,1523,CHIP-seq,cut like homeobox 1,Q13948,25752243,Homo sapiens,DNA Binding,"CHD8,CUX1",,14q11.2,7q22.1
4317,CHD8,CWC22,57703,ChIP-chip,CWC22 spliceosome-associated protein homolog (S. cerevisiae),Q9HCG8,24265227,Homo sapiens,DNA Binding,"CHD8,CWC22",,14q11.2,0
4318,CHD8,CWC27,10283,CHIP-seq,CWC27 spliceosome-associated protein homolog (S. cerevisiae),Q6UX04,25752243,Homo sapiens,DNA Binding,"CHD8,CWC27",,14q11.2,0
4319,CHD8,CWF19L1,55280,ChIP-chip,"CWF19-like 1, cell cycle control (S. pombe)",Q69YN2,24265227,Homo sapiens,DNA Binding,"CHD8,CWF19L1",,14q11.2,0
4320,CHD8,CXorf56,NM_022101,ChIP-chip,chromosome X open reading frame 56,Q9H5V9,24265227,Homo sapiens,DNA Binding,"CHD8,CXorf56",,14q11.2,0
4321,CHD8,CXXC4,NM_025212,ChIP-chip,CXXC finger protein 4,J9JIF5,24265227,Homo sapiens,DNA Binding,"CHD8,CXXC4",,14q11.2,0
4322,CHD8,CYB5A,1528,ChIP-chip,cytochrome b5 type A (microsomal),P00167,24265227,Homo sapiens,DNA Binding,"CHD8,CYB5A",,14q11.2,0
4323,CHD8,CYB5B,80777,ChIP-chip,cytochrome b5 type B (outer mitochondrial membrane),J3KNF8,24265227,Homo sapiens,DNA Binding,"CHD8,CYB5B",,14q11.2,0
4324,CHD8,CYB5D1,124637,ChIP-chip,cytochrome b5 domain containing 1,Q6P9G0,24265227,Homo sapiens,DNA Binding,"CHD8,CYB5D1",,14q11.2,0
4325,CHD8,CYB5D2,124936,ChIP-chip,cytochrome b5 domain containing 2,Q8WUJ1,24265227,Homo sapiens,DNA Binding,"CHD8,CYB5D2",,14q11.2,0
4326,CHD8,CYP2R1,120227,ChIP-chip,"cytochrome P450, family 2, subfamily R, polypeptide 1",Q6VVX0,24265227,Homo sapiens,DNA Binding,"CHD8,CYP2R1",,14q11.2,0
4327,CHD8,CYP39A1,NM_016593,ChIP-chip,"cytochrome P450, family 39, subfamily A, polypeptide 1",B7Z786,24265227,Homo sapiens,DNA Binding,"CHD8,CYP39A1",,14q11.2,0
4328,CHD8,CYP51A1,1595,ChIP-chip,"cytochrome P450, family 51, subfamily A, polypeptide 1",Q16850,24265227,Homo sapiens,DNA Binding,"CHD8,CYP51A1",,14q11.2,0
4329,CHD8,CYR61,3491,ChIP-chip,NXPH1,O00622,24265227,Homo sapiens,DNA Binding,"CHD8,CYR61",,14q11.2,0
4330,CHD8,CYTH2,9266,ChIP-chip,cytohesin 2,Q99418,24265227,Homo sapiens,DNA Binding,"CHD8,CYTH2",,14q11.2,0
4331,CHD8,CYTSA,NM_001145468,ChIP-chip,sperm antigen with calponin homology and coiled-coil domains 1-like,B2RMV2,24265227,Homo sapiens,DNA Binding,"CHD8,CYTSA",,14q11.2,0
4332,CHD8,DACH1,1602,CHIP-seq,dachshund homolog 1 (Drosophila),D0FY36,25752243,Homo sapiens,DNA Binding,"CHD8,DACH1",,14q11.2,0
4333,CHD8,DAD1,1603,ChIP-chip,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,P61803,24265227,Homo sapiens,DNA Binding,"CHD8,DAD1",,14q11.2,0
4334,CHD8,DALRD3,55152,ChIP-chip,DALR anticodon binding domain containing 3,Q5D0E6,24265227,Homo sapiens,DNA Binding,"CHD8,DALRD3",,14q11.2,0
4335,CHD8,DAPK1,1612,qRT-PCR;      ChIP-qPCR,death-associated protein kinase 1,P53355,25219500,Homo sapiens,Direct Regulation,"CHD8,DAPK1",,14q11.2,0
4336,CHD8,DARS2,55157,ChIP-chip,"aspartyl-tRNA synthetase 2, mitochondrial",Q6PI48,24265227,Homo sapiens,DNA Binding,"CHD8,DARS2",,14q11.2,0
4337,CHD8,DAXX,1616,ChIP-chip,death-domain associated protein,Q53F85,24265227,Homo sapiens,DNA Binding,"CHD8,DAXX",,14q11.2,0
4338,CHD8,DAZAP2,9802,ChIP-chip,DAZ associated protein 2,E9PB45,24265227,Homo sapiens,DNA Binding,"CHD8,DAZAP2",,14q11.2,0
4339,CHD8,DBF4,10926,CHIP-seq,DBF4 homolog (S. cerevisiae),Q9UBU7,25752243,Homo sapiens,DNA Binding,"CHD8,DBF4",,14q11.2,0
4340,CHD8,DBN1,1627,CHIP-seq,drebrin 1,Q16643,25752243,Homo sapiens,DNA Binding,"CHD8,DBN1",,14q11.2,0
4341,CHD8,DBNL,28988,ChIP-chip,drebrin-like,Q9UJU6,24265227,Homo sapiens,DNA Binding,"CHD8,DBNL",,14q11.2,0
4342,CHD8,DBP,1628,CHIP-seq,D site of albumin promoter (albumin D-box) binding protein,Q10586,25752243,Homo sapiens,DNA Binding,"CHD8,DBP",,14q11.2,0
4343,CHD8,DBT,1629,ChIP-chip,dihydrolipoamide branched chain transacylase E2,P11182,24265227,Homo sapiens,DNA Binding,"CHD8,DBT",,14q11.2,0
4344,CHD8,DCAF10,79269,CHIP-seq,DDB1 and CUL4 associated factor 10,Q5QP82,25752243,Homo sapiens,DNA Binding,"CHD8,DCAF10",,14q11.2,0
4345,CHD8,DCAF11,80344,ChIP-chip,DDB1 and CUL4 associated factor 11,B3KSW2,24265227,Homo sapiens,DNA Binding,"CHD8,DCAF11",,14q11.2,0
4346,CHD8,DCAF12,25853,ChIP-chip,DDB1 and CUL4 associated factor 12,Q5T6F0,24265227,Homo sapiens,DNA Binding,"CHD8,DCAF12",,14q11.2,0
4347,CHD8,DCAF13,25879,ChIP-chip,DDB1 and CUL4 associated factor 13,Q9NV06,24265227,Homo sapiens,DNA Binding,"CHD8,DCAF13",,14q11.2,0
4348,CHD8,DCAF17,80067,CHIP-seq,DDB1- and CUL4-associated factor 17,Q5H9S7,25752243,Homo sapiens,DNA Binding,"CHD8,DCAF17",,14q11.2,0
4349,CHD8,DCAF5,8816,CHIP-seq,DDB1 and CUL4 associated factor 5,Q96JK2,25752243,Homo sapiens,DNA Binding,"CHD8,DCAF5",,14q11.2,0
4350,CHD8,DCAF6,NM_018442,ChIP-chip,DDB1 and CUL4 associated factor 6,Q58WW2,24265227,Homo sapiens,DNA Binding,"CHD8,DCAF6",,14q11.2,0
4351,CHD8,DCAF7,10238,ChIP-chip,DDB1 and CUL4 associated factor 7,P61962,24265227,Homo sapiens,DNA Binding,"CHD8,DCAF7",,14q11.2,0
4352,CHD8,DCAF8,50717,ChIP-chip,DDB1 and CUL4 associated factor 8,B7Z8C9,24265227,Homo sapiens,DNA Binding,"CHD8,DCAF8",,14q11.2,0
4353,CHD8,DCDC2,51473,ChIP-chip,doublecortin domain containing 2,Q9UHG0,24265227,Homo sapiens,DNA Binding,"CHD8,DCDC2",,14q11.2,0
4354,CHD8,DCLK2,166614,CHIP-seq,Serine/threonine-protein kinase DCLK2,Q8N568,25752243,Homo sapiens,DNA Binding,"CHD8,DCLK2",,14q11.2,0
4355,CHD8,DCLRE1A,9937,CHIP-seq,DNA cross-link repair 1A,Q6PJP8,25752243,Homo sapiens,DNA Binding,"CHD8,DCLRE1A",,14q11.2,0
4356,CHD8,DCLRE1C,64421,ChIP-chip,DNA cross-link repair 1C,Q96SD1,24265227,Homo sapiens,DNA Binding,"CHD8,DCLRE1C",,14q11.2,0
4357,CHD8,DCP1A,55802,CHIP-seq,mRNA-decapping enzyme 1A,Q9NPI6,25752243,Homo sapiens,DNA Binding,"CHD8,DCP1A",,14q11.2,0
